time,dewpoint,altitude,UV,lux
0,14.1,1284.1,-0.005,151.0
1,14.0,1284.3,-0.005,144.0
2,14.0,1285.0,-0.005,152.0
3,14.1,1285.6,-0.005,154.0
3,14.0,1285.4,-0.005,136.0
4,14.1,1282.0,-0.005,139.0
5,14.1,1281.2,-0.005,112.0
6,14.1,1280.8,-0.005,123.0
6,14.1,1280.0,-0.005,121.0
7,14.1,1278.1,-0.005,119.0
8,14.1,1276.1,-0.005,125.0
8,14.1,1273.8,-0.011,117.0
9,14.2,1269.7,-0.011,127.0
10,14.2,1265.3,-0.005,115.0
11,14.3,1262.3,-0.005,119.0
11,14.3,1259.6,-0.011,122.0
12,14.3,1257.8,-0.005,113.0
13,14.3,1256.3,-0.005,119.0
14,14.3,1255.3,-0.005,120.0
14,14.3,1254.4,-0.011,117.0
15,14.4,1254.0,-0.005,124.0
16,14.4,1253.2,-0.005,126.0
17,15.8,1201.6,-0.005,124.0
17,17.2,1144.2,-0.005,122.0
18,17.9,1102.3,-0.005,121.0
19,18.4,1069.3,-0.005,127.0
20,18.8,1043.8,-0.005,119.0
20,19.2,1020.1,-0.005,126.0
21,19.6,994.7,-0.005,124.0
22,19.9,973.7,-0.005,122.0
22,20.2,961.0,-0.005,129.0
23,20.4,954.0,-0.005,120.0
24,20.6,948.5,-0.005,125.0
25,20.8,946.3,-0.005,124.0
25,21.0,946.7,-0.005,121.0
26,21.1,948.3,-0.005,128.0
27,21.2,950.5,-0.011,120.0
28,20.8,948.5,-0.005,93.0
28,20.2,967.3,-0.005,118.0
29,19.7,1003.5,-0.005,116.0
30,19.1,1048.6,-0.011,122.0
31,18.7,1084.5,-0.005,114.0
31,18.4,1110.7,-0.005,121.0
32,18.3,1124.0,-0.005,121.0
33,18.1,1140.9,-0.005,119.0
34,17.8,1161.8,-0.005,123.0
34,17.6,1177.2,-0.011,117.0
35,17.5,1190.8,-0.011,123.0
36,17.3,1205.7,-0.005,123.0
37,17.1,1216.9,-0.005,118.0
37,17.0,1225.1,-0.005,122.0
38,16.9,1232.5,-0.005,116.0
39,16.8,1240.6,-0.011,123.0
40,16.7,1249.6,-0.011,125.0
40,16.5,1257.5,-0.005,116.0
41,16.4,1263.3,-0.005,122.0
42,16.3,1267.0,-0.005,116.0
42,16.2,1269.8,-0.011,120.0
43,16.1,1271.5,-0.005,124.0
44,16.1,1273.8,-0.011,108.0
45,16.0,1277.8,-0.011,147.0
45,15.9,1282.1,-0.005,24.0
46,15.9,1286.5,-0.005,23.0
47,15.8,1290.1,-0.005,24.0
48,15.7,1292.6,-0.005,146.0
48,15.6,1295.5,-0.005,23.0
49,15.6,1296.4,-0.005,24.0
50,15.6,1295.2,-0.005,117.0
51,15.6,1293.1,-0.005,113.0
51,15.6,1292.9,-0.005,125.0
52,15.5,1294.8,-0.011,139.0
53,15.4,1298.2,-0.005,142.0
54,15.4,1298.2,-0.011,147.0
54,15.4,1298.6,-0.005,151.0
55,15.3,1302.0,-0.011,140.0
56,15.3,1305.5,-0.011,149.0
57,15.2,1307.9,-0.005,142.0
57,15.2,1310.3,-0.011,149.0
58,15.1,1309.3,-0.011,155.0
59,15.1,1305.0,-0.011,141.0
59,15.1,1303.5,-0.005,149.0
60,15.1,1304.1,-0.011,142.0
61,15.1,1304.8,-0.005,137.0
62,15.1,1306.6,-0.011,143.0
62,15.0,1307.5,-0.011,131.0
63,15.0,1306.7,-0.005,134.0
64,15.0,1306.5,-0.011,138.0
65,14.9,1309.6,-0.011,140.0
65,14.8,1312.9,-0.005,145.0
66,14.8,1313.1,-0.011,96.0
67,14.8,1312.3,-0.011,138.0
68,14.8,1310.8,-0.005,0.0
68,14.8,1313.1,-0.014,389.0
69,14.7,1316.0,-0.005,565.0
70,14.7,1315.0,-0.005,139.0
71,14.7,1314.3,-0.011,147.0
71,14.6,1314.0,-0.005,149.0
72,14.7,1308.0,-0.011,141.0
73,14.6,1308.2,-0.011,146.0
74,14.6,1305.7,-0.005,137.0
74,14.6,1305.5,-0.005,141.0
75,14.5,1305.9,-0.016,0.0
76,14.5,1307.0,-0.014,623.0
76,14.5,1308.7,-0.016,434.0
77,14.5,1309.7,-0.017,880.0
78,14.5,1310.9,-0.017,923.0
79,14.5,1312.4,-0.017,748.0
79,14.4,1311.8,-0.013,829.0
80,14.4,1314.0,-0.017,852.0
81,14.4,1314.3,-0.017,753.0
82,14.4,1314.9,-0.015,796.0
82,14.3,1316.1,-0.015,778.0
83,14.3,1315.9,-0.015,810.0
84,14.3,1311.8,-0.015,689.0
85,14.3,1304.3,-0.015,906.0
85,14.4,1297.4,-0.018,798.0
86,14.4,1293.9,-0.016,932.0
87,14.4,1293.0,-0.017,871.0
88,14.4,1293.6,-0.018,886.0
88,14.4,1292.4,-0.023,745.0
89,14.4,1292.6,-0.005,806.0
90,14.4,1289.3,-0.011,125.0
91,14.5,1285.5,-0.005,131.0
91,14.5,1282.5,-0.005,145.0
92,14.5,1279.4,-0.011,139.0
93,14.5,1277.3,-0.005,145.0
